Applicant_Income,Coapplicant_Income,Credit_Score,Loan_Amount_Term,Dependents,Education,Self_Employed,Property_Area,Existing_Loans,Age,loan_amount_sanctioned
5875.56,1637.57,502,60,0,Graduate,No,Semiurban,0,44,3421.18
10290.2,1500.0,633,120,3+,Graduate,No,Semiurban,1,47,4356.82
3792.82,12.56,521,360,2,Not Graduate,No,Urban,1,40,2111.46
3280.51,2500.0,340,360,2,Graduate,No,Semiurban,0,45,2840.32
3824.26,1501.56,367,360,0,Not Graduate,Yes,Semiurban,2,22,1913.57
7767.48,1500.0,813,360,0,Graduate,No,Urban,1,29,3921.74
5792.83,1500.0,426,180,0,Graduate,No,Urban,3,48,3597.66
3771.09,1659.45,554,360,0,Graduate,No,Urban,1,58,3193.24
6352.69,1500.0,315,360,0,Graduate,No,Rural,0,23,3518.84
5159.21,0.0,776,120,0,Graduate,No,Urban,2,40,2254.83
7977.04,0.0,361,180,3+,Graduate,No,Urban,0,26,3453.33
3459.83,4000.0,731,360,2,Not Graduate,No,Semiurban,3,59,2741.29
4172.08,6000.0,567,12,0,Not Graduate,No,Semiurban,1,53,2736.92
4039.78,164.2,334,360,0,Graduate,Yes,Urban,1,21,2458.53
2364.31,100.98,793,60,1,Graduate,No,Rural,0,57,1423.29
5699.08,2500.0,768,180,0,Graduate,No,Rural,0,26,3468.18
5600.03,1725.24,624,360,3+,Graduate,Yes,Semiurban,3,54,3375.23
4927.35,98.18,603,60,0,Graduate,No,Semiurban,2,35,1488.38
4370.82,0.0,575,60,0,Graduate,No,Urban,3,46,2200.75
2421.92,2500.0,500,120,0,Graduate,No,Urban,2,34,2434.42
3982.55,2729.09,744,360,0,Graduate,No,Rural,1,27,2515.21
4140.79,0.0,623,12,1,Not Graduate,Yes,Urban,2,51,1304.07
3290.72,0.0,334,360,2,Graduate,No,Urban,2,44,2109.28
4533.99,102.26,781,60,1,Graduate,Yes,Semiurban,1,51,1899.08
6015.08,2743.98,779,360,0,Graduate,No,Urban,1,49,4012.74
12620.69,138.43,364,360,1,Graduate,Yes,Rural,1,62,5040.03
5363.05,56.39,307,120,1,Graduate,No,Urban,3,52,3050.71
5590.23,2559.48,600,180,2,Graduate,No,Rural,1,37,2363.53
4735.19,85.34,642,120,0,Not Graduate,No,Semiurban,0,34,1692.59
1882.99,2575.89,730,180,0,Graduate,No,Rural,1,60,2137.13
4850.04,28.12,723,36,1,Graduate,No,Urban,1,56,2528.91
5065.03,10.42,631,12,1,Not Graduate,No,Semiurban,1,44,2242.08
16841.83,0.0,737,36,0,Not Graduate,No,Rural,2,47,3965.78
4464.08,2500.0,473,120,0,Graduate,No,Semiurban,3,45,2149.17
5714.57,4000.0,826,60,0,Graduate,No,Semiurban,1,52,4156.14
4830.2,4000.0,325,180,2,Graduate,Yes,Semiurban,3,38,3320.25
2739.86,0.0,705,360,0,Graduate,No,Semiurban,0,38,1930.33
8702.9,2500.0,531,120,3+,Graduate,No,Semiurban,0,57,4453.25
7157.86,0.0,832,180,1,Graduate,No,Rural,1,46,3067.37
7299.17,17.99,849,120,3+,Graduate,No,Urban,0,29,3123.31
3119.12,4139.2,804,360,2,Graduate,No,Semiurban,3,55,3364.27
9910.97,91.83,478,360,0,Graduate,No,Rural,2,28,4020.76
2438.34,0.0,431,360,2,Graduate,No,Semiurban,1,40,2426.69
6590.79,0.0,754,360,0,Graduate,Yes,Rural,0,62,3348.8
14694.49,94.08,647,12,3+,Graduate,No,Rural,3,42,5394.04
2995.1,0.0,839,360,1,Graduate,No,Semiurban,3,39,1803.17
3702.82,1500.0,705,360,0,Graduate,No,Urban,0,50,2927.11
5165.85,1555.01,375,60,1,Graduate,No,Urban,3,48,2897.56
3820.98,4000.0,791,360,3+,Graduate,No,Semiurban,3,55,3049.88
2263.5,4010.54,493,36,0,Graduate,No,Rural,1,63,2538.19
5086.18,0.0,461,180,1,Graduate,No,Urban,3,31,2647.9
2889.53,0.0,646,60,2,Not Graduate,No,Urban,0,51,1298.14
6227.91,31.98,660,120,2,Not Graduate,No,Urban,1,59,2415.51
3103.51,1500.0,386,180,0,Graduate,No,Rural,0,56,2438.25
10667.61,44.05,561,180,0,Graduate,No,Urban,2,50,4506.8
3322.17,2500.0,513,120,0,Graduate,No,Semiurban,0,43,2776.17
4183.78,1555.25,561,120,1,Graduate,No,Semiurban,0,39,2422.82
7381.7,1522.39,582,360,0,Graduate,No,Rural,1,32,3728.32
2655.98,1636.41,766,36,3+,Not Graduate,No,Semiurban,3,35,1415.43
5506.75,12.52,679,120,0,Graduate,No,Semiurban,0,51,3256.15
9448.12,6000.0,661,360,1,Graduate,Yes,Urban,1,63,5755.2
2200.1,2512.23,748,360,0,Not Graduate,No,Semiurban,2,57,1932.54
5390.09,54.33,740,120,0,Not Graduate,Yes,Semiurban,1,57,1645.28
5596.75,4004.89,392,360,0,Not Graduate,No,Rural,1,35,2489.06
7265.64,1504.06,723,360,0,Graduate,No,Urban,3,49,4391.54
2647.91,4000.0,441,360,1,Graduate,No,Urban,0,63,3754.27
2539.62,2500.0,590,180,3+,Graduate,Yes,Urban,2,46,2499.07
6380.3,1500.0,731,60,1,Graduate,No,Semiurban,1,64,3359.29
5701.54,174.96,348,60,3+,Graduate,No,Rural,0,22,1906.56
5570.54,0.0,601,60,2,Graduate,No,Urban,0,40,2830.38
5844.31,1500.0,489,180,1,Not Graduate,No,Semiurban,1,35,2167.64
3498.14,2500.0,435,12,2,Graduate,No,Urban,0,24,1882.49
5519.97,89.49,703,180,1,Graduate,No,Urban,1,42,2781.71
5690.4,0.0,640,120,0,Graduate,Yes,Semiurban,1,58,2150.91
3438.62,4124.77,617,60,2,Graduate,No,Urban,1,43,2563.29
12492.54,6000.0,662,360,0,Graduate,No,Semiurban,2,46,7324.32
6228.66,1527.9,681,120,1,Graduate,No,Semiurban,1,31,2705.24
2709.04,0.0,532,36,2,Graduate,No,Semiurban,3,48,1189.8
6824.52,214.51,643,360,0,Graduate,No,Urban,0,22,3517.22
3018.93,0.0,848,12,0,Graduate,Yes,Rural,2,28,1260.34
7284.78,6030.98,828,180,3+,Not Graduate,No,Semiurban,0,49,3751.71
8771.8,63.38,482,360,1,Graduate,No,Rural,2,31,3103.4
3260.58,1541.38,340,120,0,Graduate,No,Urban,3,57,2569.12
7956.05,0.0,696,360,1,Graduate,No,Urban,2,38,3869.05
6041.4,1500.0,793,180,1,Graduate,No,Urban,2,34,3622.63
7413.29,2504.38,632,120,1,Graduate,Yes,Urban,2,30,3517.83
12687.8,4000.0,426,12,3+,Graduate,Yes,Semiurban,0,55,5837.27
4347.28,96.39,300,60,1,Not Graduate,No,Rural,1,29,1682.2
3371.56,221.05,467,360,0,Not Graduate,Yes,Semiurban,0,55,1713.15
3150.27,0.0,318,120,2,Graduate,No,Urban,1,31,1918.72
3268.53,6000.0,631,180,2,Not Graduate,No,Semiurban,0,64,2495.15
4728.91,4000.0,755,180,0,Graduate,No,Urban,3,32,3504.63
5828.86,1757.97,408,180,0,Graduate,No,Semiurban,3,23,3268.61
5643.98,2500.0,567,36,0,Graduate,No,Semiurban,2,59,3343.22
7432.31,2663.91,744,120,1,Graduate,No,Rural,3,34,4023.73
4946.82,167.77,539,180,1,Not Graduate,No,Rural,2,48,1959.19
10165.62,6000.0,600,60,1,Graduate,No,Urban,1,31,5549.79
4305.6,1556.9,402,60,3+,Not Graduate,No,Semiurban,3,59,2689.29
19150.51,162.84,549,12,2,Graduate,No,Rural,1,45,6788.69
6719.93,1500.0,752,120,0,Graduate,No,Rural,0,41,2660.87
3201.65,0.0,819,360,0,Graduate,Yes,Semiurban,1,30,1850.79
2877.14,0.0,452,36,0,Graduate,No,Rural,0,63,1304.26
6255.62,2500.0,473,60,0,Graduate,Yes,Urban,1,35,3379.12
4395.2,0.0,642,120,1,Not Graduate,No,Rural,1,39,1685.17
7023.38,2500.0,730,180,2,Graduate,No,Urban,3,42,4109.23
6226.81,3.41,623,180,0,Not Graduate,No,Semiurban,1,41,1880.03
4739.02,0.0,719,120,1,Not Graduate,No,Rural,3,64,1620.4
3218.28,23.38,784,360,2,Graduate,No,Urban,3,52,2409.69
2304.4,0.0,711,180,0,Not Graduate,No,Semiurban,2,43,1000.0
3931.37,2533.09,383,360,0,Not Graduate,Yes,Urban,2,33,2075.78
7541.67,83.35,412,360,0,Graduate,No,Rural,0,25,3540.28
5470.07,1500.0,631,60,0,Not Graduate,No,Rural,1,24,1486.73
2636.3,1537.41,677,60,3+,Not Graduate,No,Semiurban,0,48,1895.84
5359.31,2622.77,340,36,0,Graduate,No,Semiurban,1,34,3155.28
5959.0,6000.0,404,120,0,Graduate,Yes,Rural,2,28,3355.54
3159.19,2667.26,501,360,1,Not Graduate,No,Semiurban,2,29,1950.02
5307.43,41.9,749,120,3+,Graduate,No,Semiurban,1,55,2878.72
5059.91,0.0,565,60,0,Graduate,No,Semiurban,1,57,2257.34
2775.3,0.0,509,360,0,Graduate,No,Semiurban,2,41,1857.91
5877.54,1555.83,417,180,0,Not Graduate,No,Urban,2,38,2531.83
6505.43,7.6,676,36,0,Graduate,No,Urban,0,53,2506.53
8446.65,1553.88,839,120,0,Not Graduate,No,Urban,2,28,2781.44
8324.02,1500.0,383,120,1,Graduate,No,Rural,1,37,3361.56
2468.0,16.94,753,360,0,Graduate,No,Semiurban,0,63,2354.46
3075.08,2500.0,813,12,0,Graduate,No,Semiurban,1,51,2086.58
6358.31,0.0,686,60,2,Graduate,No,Semiurban,3,54,2800.57
6354.34,0.0,649,180,0,Graduate,No,Urban,0,26,2575.16
6358.35,2500.0,595,60,0,Not Graduate,Yes,Urban,1,42,2848.26
33737.52,1623.61,557,180,0,Not Graduate,No,Rural,2,34,8918.62
6538.38,2609.13,380,120,3+,Graduate,No,Semiurban,3,23,3371.89
8671.38,1560.91,567,120,0,Graduate,No,Rural,1,32,3668.56
7918.85,0.0,718,360,2,Not Graduate,No,Semiurban,0,56,3150.3
6806.92,4000.0,534,180,2,Not Graduate,No,Semiurban,1,32,2994.76
4198.01,2621.31,610,36,0,Graduate,Yes,Semiurban,3,22,2549.37
7183.09,2514.17,656,180,3+,Graduate,No,Rural,0,22,3380.63
3339.54,231.93,512,360,0,Graduate,No,Rural,3,35,1961.4
4365.95,1539.33,348,180,0,Not Graduate,No,Urban,1,43,2157.55
3855.74,19.2,426,60,2,Graduate,No,Semiurban,2,49,1923.72
5120.14,0.0,522,360,2,Graduate,Yes,Semiurban,2,37,2615.02
15635.97,6013.35,578,120,1,Graduate,No,Semiurban,1,52,7656.52
1932.11,0.0,707,60,0,Not Graduate,No,Urban,1,27,1000.0
6926.64,6070.81,804,60,0,Graduate,No,Rural,1,50,3880.33
2194.35,1595.67,593,36,2,Graduate,No,Rural,0,48,1735.41
3881.72,0.0,576,360,0,Graduate,No,Urban,3,34,2418.15
8471.61,1500.0,737,36,0,Graduate,No,Rural,3,64,3852.03
5075.3,4000.0,406,36,0,Graduate,No,Urban,3,50,3506.31
2867.3,2550.8,719,360,0,Not Graduate,Yes,Urban,1,37,1970.31
3436.98,4000.0,728,120,2,Not Graduate,No,Urban,3,52,2542.1
6903.6,2500.0,674,12,0,Not Graduate,Yes,Urban,1,26,2881.07
3411.19,2538.86,372,36,3+,Not Graduate,No,Rural,0,44,1757.37
5476.54,4249.3,329,36,0,Graduate,No,Urban,2,26,3537.17
5028.04,0.0,487,60,2,Not Graduate,No,Urban,1,47,1869.64
3548.21,1583.85,663,180,0,Graduate,No,Urban,1,38,2738.69
14356.7,8.18,750,60,0,Graduate,No,Urban,2,44,5605.53
6747.72,6000.0,494,36,0,Not Graduate,No,Urban,2,57,3691.66
1785.46,6091.91,455,360,0,Graduate,No,Semiurban,0,44,3876.74
5395.0,0.0,471,180,1,Graduate,No,Urban,3,58,3006.59
3530.19,2526.74,340,120,3+,Graduate,No,Rural,1,54,2234.74
7526.74,6032.17,362,180,1,Graduate,No,Rural,3,60,4344.17
3306.81,0.0,322,120,0,Graduate,No,Urban,1,35,1777.46
4640.75,1599.2,659,120,0,Not Graduate,No,Rural,0,31,2047.73
6326.44,6000.0,374,180,0,Not Graduate,No,Urban,2,42,3603.91
7577.04,0.0,417,120,1,Graduate,Yes,Urban,0,44,3101.97
2696.88,2553.65,679,360,2,Graduate,Yes,Urban,2,21,2295.85
4157.83,0.0,589,12,3+,Graduate,No,Urban,3,38,1972.88
3875.88,6002.82,739,360,0,Not Graduate,Yes,Semiurban,3,64,3066.23
3545.15,6000.0,306,36,1,Graduate,No,Rural,0,32,2898.03
11881.37,6108.59,495,360,0,Graduate,No,Urban,2,63,7359.86
6017.88,1547.47,720,180,1,Graduate,Yes,Semiurban,0,48,3843.89
2616.41,4000.0,492,360,1,Graduate,No,Urban,2,60,2918.93
7777.04,4081.78,447,36,1,Graduate,No,Rural,2,27,3778.03
14201.15,139.02,501,180,1,Not Graduate,No,Urban,3,43,4626.37
8235.69,4055.78,743,180,0,Graduate,Yes,Urban,3,41,4083.39
2299.2,1.04,718,180,2,Graduate,No,Urban,2,54,2113.34
3857.92,1500.0,726,180,0,Graduate,No,Urban,2,31,2606.35
9259.97,0.0,778,180,1,Graduate,No,Semiurban,2,42,4167.18
3450.12,0.0,774,120,0,Graduate,No,Rural,3,62,1446.74
6135.89,0.0,425,120,1,Graduate,No,Urban,3,55,2926.25
7239.57,2500.0,694,120,3+,Graduate,No,Semiurban,1,49,3579.93
3091.88,5.66,624,36,2,Graduate,No,Semiurban,2,62,2328.43
4770.65,2552.97,691,360,2,Not Graduate,No,Rural,1,48,2730.6
972.01,0.0,739,180,1,Graduate,No,Urban,2,38,1002.43
2944.83,48.65,503,360,2,Not Graduate,No,Semiurban,3,34,1200.35
4331.7,1506.45,785,60,1,Graduate,No,Rural,1,38,2245.44
2633.6,2500.0,330,360,2,Not Graduate,No,Semiurban,1,48,2348.24
11116.72,0.0,687,360,0,Graduate,No,Semiurban,0,44,4526.32
2404.1,2500.0,733,180,3+,Not Graduate,No,Urban,2,28,1496.68
3944.11,4000.0,675,180,3+,Graduate,No,Urban,3,62,3172.75
5246.78,2559.99,643,120,2,Graduate,No,Semiurban,0,28,3213.2
10103.49,153.08,742,360,0,Not Graduate,No,Semiurban,0,24,3406.78
2397.23,121.88,374,180,0,Graduate,No,Urban,2,47,1648.16
8791.86,4000.0,454,36,2,Graduate,Yes,Semiurban,0,56,4439.24
4939.98,149.07,729,120,0,Graduate,No,Semiurban,2,25,2041.3
3008.65,4014.87,662,360,2,Graduate,Yes,Semiurban,0,53,2746.29
6192.24,1500.0,747,360,0,Graduate,No,Semiurban,2,54,4071.03
5429.11,6000.0,533,360,0,Graduate,Yes,Rural,3,50,4200.67
3640.56,2500.0,561,180,3+,Graduate,No,Urban,2,28,2660.29
5089.33,6000.0,424,60,1,Not Graduate,No,Rural,2,59,2816.66
4053.53,17.04,544,60,1,Graduate,No,Urban,1,46,2418.94
5201.79,2516.06,841,60,1,Not Graduate,Yes,Urban,3,57,2472.11
6843.57,1500.3,784,12,0,Not Graduate,No,Urban,3,54,2606.7
10861.81,1543.69,421,120,2,Graduate,No,Urban,3,27,4771.54
2646.76,2619.06,424,60,0,Graduate,No,Urban,0,60,2749.9
14278.59,4094.96,848,120,3+,Graduate,Yes,Urban,1,48,6614.78
1851.88,6000.0,469,360,2,Graduate,No,Rural,3,59,2843.45
4555.58,2500.0,423,120,0,Not Graduate,No,Urban,0,59,2502.85
6595.6,1593.43,334,360,2,Graduate,Yes,Semiurban,0,48,3765.52
5656.13,1500.0,386,180,1,Graduate,No,Urban,0,34,3275.84
3599.86,2500.0,500,60,0,Graduate,No,Rural,1,58,2456.45
4429.04,0.0,668,120,3+,Graduate,No,Semiurban,0,24,1860.97
3841.04,0.0,376,36,0,Graduate,No,Urban,1,62,2301.14
3660.36,54.15,358,120,0,Graduate,No,Rural,2,38,1693.31
7516.09,75.92,730,180,1,Not Graduate,No,Semiurban,0,64,2667.63
5875.27,0.0,799,36,1,Graduate,No,Rural,3,45,2521.85
3475.68,0.0,408,60,1,Graduate,No,Semiurban,0,27,1505.11
7706.35,0.0,577,120,2,Not Graduate,No,Semiurban,2,58,2307.55
5731.03,39.18,367,360,1,Graduate,No,Rural,2,48,2548.37
7379.28,6000.0,368,360,1,Not Graduate,No,Semiurban,0,25,3792.61
6733.26,1518.34,464,180,0,Not Graduate,No,Urban,2,23,2800.33
3247.05,0.0,788,36,0,Graduate,No,Rural,1,64,1508.36
3714.17,2557.93,604,360,0,Not Graduate,No,Semiurban,1,51,2373.35
7141.28,11.96,664,360,0,Graduate,No,Semiurban,0,62,3484.44
6668.73,6000.0,678,180,1,Not Graduate,No,Urban,1,40,3952.01
4863.67,2619.66,642,360,0,Graduate,Yes,Semiurban,1,39,3663.15
5211.71,0.0,653,120,0,Graduate,No,Rural,3,31,2522.02
9309.89,1500.0,715,360,0,Not Graduate,No,Urban,0,60,4234.92
3656.33,4000.0,408,360,3+,Not Graduate,No,Semiurban,2,23,2652.76
6461.06,6000.0,796,12,3+,Not Graduate,No,Semiurban,0,43,2780.55
4442.19,1500.0,640,120,1,Graduate,No,Rural,1,27,2252.03
4407.93,2500.0,682,360,3+,Not Graduate,No,Semiurban,3,43,2404.34
8513.33,171.17,832,36,2,Graduate,No,Urban,0,27,3778.27
7425.74,6000.0,599,180,1,Not Graduate,No,Rural,0,54,2846.35
7381.67,0.0,438,360,0,Graduate,No,Semiurban,1,62,3856.17
9440.27,6147.12,658,180,2,Graduate,No,Urban,1,39,5687.46
4966.66,2500.0,798,60,2,Graduate,No,Urban,0,29,3230.05
6911.74,2500.0,684,180,1,Graduate,Yes,Semiurban,1,38,3939.51
4208.52,1603.99,579,60,2,Not Graduate,No,Urban,1,61,1895.33
5779.56,0.0,782,180,1,Graduate,No,Urban,1,62,2924.59
4605.14,182.6,410,36,2,Graduate,No,Rural,1,45,2009.33
5159.0,67.79,438,180,3+,Graduate,No,Urban,1,34,3027.68
6618.2,0.0,734,180,0,Not Graduate,No,Semiurban,3,64,2566.72
3264.59,2715.73,808,180,2,Graduate,No,Urban,1,45,2454.9
13991.34,0.0,572,180,0,Graduate,No,Rural,2,39,4825.28
2972.0,74.21,398,180,1,Graduate,No,Semiurban,0,59,2041.47
2678.21,6029.93,403,180,2,Graduate,No,Urban,3,35,3249.54
8769.68,4130.17,513,36,0,Graduate,No,Semiurban,3,36,4237.99
7301.47,6156.15,464,180,1,Graduate,No,Urban,1,47,4873.5
6714.74,6003.2,819,60,0,Graduate,No,Rural,0,60,3877.28
6728.94,0.0,583,360,1,Not Graduate,No,Rural,2,30,2612.22
4884.77,46.0,816,36,0,Not Graduate,No,Semiurban,1,24,1426.47
3138.1,2500.0,463,120,2,Graduate,No,Semiurban,0,39,2226.49
5104.63,2701.34,363,180,0,Not Graduate,No,Urban,1,48,2513.07
3503.15,13.65,390,120,1,Graduate,No,Semiurban,1,41,1452.16
8002.9,4000.0,416,36,0,Graduate,No,Semiurban,1,34,3906.81
4566.36,18.47,566,180,2,Graduate,No,Urban,1,53,2895.45
3252.73,0.0,439,180,3+,Graduate,No,Semiurban,1,30,1474.65
4185.19,1500.0,545,180,3+,Graduate,No,Urban,1,39,2441.65
6041.85,1620.04,694,120,2,Graduate,No,Semiurban,1,50,2908.79
3707.59,1500.0,786,180,2,Graduate,No,Urban,2,42,2547.86
3258.07,0.0,775,120,0,Graduate,No,Semiurban,3,23,2098.49
5551.61,4053.67,816,180,0,Graduate,No,Urban,2,57,3994.06
5555.16,118.57,483,180,0,Graduate,No,Urban,1,61,3045.87
3814.36,71.9,319,180,2,Graduate,No,Semiurban,1,38,1840.91
3883.46,4099.6,823,60,3+,Graduate,No,Rural,2,31,2539.67
5519.4,6000.0,828,12,0,Graduate,No,Rural,2,22,3621.51
2382.62,4000.0,446,60,3+,Graduate,No,Urban,3,32,2357.04
2431.51,4150.13,603,36,1,Not Graduate,No,Urban,2,26,2347.91
3431.59,2500.0,527,120,1,Graduate,No,Rural,3,63,2695.31
4417.27,1500.0,401,180,0,Graduate,No,Semiurban,1,60,2794.29
5741.37,132.82,716,60,0,Graduate,No,Urban,0,64,2938.14
10277.15,1555.62,515,360,1,Graduate,No,Rural,0,49,4994.02
7546.43,45.59,706,12,1,Graduate,No,Rural,0,50,2925.11
4537.04,216.5,698,360,0,Graduate,No,Rural,0,22,2684.03
4868.26,2500.0,798,180,1,Graduate,No,Rural,1,29,3199.0
2977.19,1592.78,764,120,2,Graduate,No,Rural,0,22,1721.82
4869.48,5.7,381,36,2,Graduate,No,Urban,2,49,2412.74
4254.24,26.86,664,180,3+,Graduate,No,Urban,2,53,2724.6
5775.38,2652.85,462,120,0,Graduate,No,Semiurban,0,30,3376.02
3249.92,50.78,347,360,0,Graduate,Yes,Semiurban,2,54,2385.93
6372.03,4053.83,810,180,2,Graduate,No,Semiurban,3,64,3836.65
10576.28,1607.25,628,360,0,Graduate,No,Semiurban,1,28,4770.05
4654.64,1500.0,415,60,0,Graduate,No,Semiurban,0,57,2546.63
6008.05,1500.0,636,180,0,Graduate,No,Semiurban,0,53,3650.38
6940.1,4000.0,446,180,0,Graduate,Yes,Urban,1,26,3624.64
4021.42,0.0,622,180,0,Graduate,No,Urban,2,64,2874.5
5497.49,2705.62,742,60,0,Not Graduate,No,Semiurban,1,60,2790.61
4945.81,1500.0,312,180,0,Graduate,No,Semiurban,1,39,3064.15
5160.75,0.0,793,120,0,Not Graduate,No,Urban,2,52,1876.28
3339.23,4000.0,586,180,1,Graduate,No,Semiurban,1,47,2981.14
4975.37,2530.74,413,120,1,Graduate,No,Semiurban,2,21,2826.87
